seed,GATv2_R2,MLP_R2,dR2,n_test
1000,0.3294926881790161,0.23644506931304932,0.0930476188659668,60
1001,0.40076273679733276,0.3147971034049988,0.08596563339233398,60
1002,0.4915250539779663,0.4974108934402466,-0.0058858394622802734,60
1003,0.48153460025787354,0.2118741273880005,0.26966047286987305,60
1004,0.35548001527786255,0.2009878158569336,0.15449219942092896,60
1005,0.41732460260391235,0.32604944705963135,0.091275155544281,60
1006,0.4027310013771057,0.39080822467803955,0.011922776699066162,60
1007,0.3899942636489868,0.2467491626739502,0.14324510097503662,60
1008,0.35789620876312256,0.2549889087677002,0.10290729999542236,60
1009,0.40519851446151733,0.41603726148605347,-0.010838747024536133,60
