,0
area,0.22114943535177525
Total.Bsmt.SF,0.119976729307745
Lot.Area,0.1061498506452502
BsmtFin.SF.1,0.08759294923809989
X2nd.Flr.SF,0.07458698590265861
Bsmt.Unf.SF,0.05238372938738769
Garage.Area,0.03839803125865254
Overall.Qual,0.037027651759535096
Year.Remod.Add,0.027598603514345323
X1st.Flr.SF,0.023879099367719953
