Model,CV_RMSE_log,CV_RMSE_log_std,CV_R2,CV_R2_std
Dummy (mean),0.4071123796103466,0.013473750812876193,-0.0010784263869724863,0.0011865491646727213
LinearRegression,0.13221854664110552,0.01247571998959611,0.8922769783285295,0.025843492337741993
Ridge,0.12862144512712292,0.010947899881945763,0.8983181330904438,0.02282139128702122
